slug,event_timestamp,event_datetime,date,hour,minute,day_of_week,winner,winner_binary,volume,last_trade_price,best_bid,best_ask,spread,closed,btc_open,btc_close,btc_high,btc_low,btc_return,btc_volatility,btc_range,n_trades,n_unique_traders,total_trade_size,avg_trade_price,up_buy_pct,implied_prob_5min,implied_prob_4min,implied_prob_3min,implied_prob_2min,implied_prob_1min
btc-updown-5m-1771103700,1771103700,2026-02-14 21:15:00 UTC,2026-02-14,21,15,Saturday,Up,1,90752.82745,0.99,0.99,1,0.01,True,70211.82,70221.0,70250.46,70158.15,0.00013075,6.206e-05,0.00131474,1388,526,140489.3488,0.4836,0.428,0.48,0.5331,0.41,0.35,0.1448
btc-updown-5m-1771104000,1771104000,2026-02-14 21:20:00 UTC,2026-02-14,21,20,Saturday,Down,0,122487.472041,0.01,,0.01,0.01,True,70209.35,70038.11,70209.35,70038.1,-0.00243899,7.774e-05,0.00243913,1129,545,116771.0512,0.5269,0.4066,0.5,0.36,0.2583,0.1,0.02
btc-updown-5m-1771104300,1771104300,2026-02-14 21:25:00 UTC,2026-02-14,21,25,Saturday,Down,0,183219.980883,0.01,,0.01,0.01,True,70038.1,69997.74,70046.35,69985.94,-0.00057626,5.904e-05,0.00086253,1514,577,170629.1707,0.4614,0.3236,0.52,0.4742,0.5431,0.725,0.8032
btc-updown-5m-1771104600,1771104600,2026-02-14 21:30:00 UTC,2026-02-14,21,30,Saturday,Down,0,187732.914622,0.01,,0.01,0.01,True,69997.74,69947.69,70023.95,69882.1,-0.00071502,8.627e-05,0.00202649,1489,526,178375.2183,0.3325,0.4473,0.52,0.44,0.3191,0.43,0.2362
btc-updown-5m-1771104900,1771104900,2026-02-14 21:35:00 UTC,2026-02-14,21,35,Saturday,Down,0,106130.361686,0.001,,0.01,0.01,True,69940.06,69749.69,69940.06,69687.22,-0.0027219,9.56e-05,0.0036151,1092,518,98922.2975,0.5121,0.369,0.51,0.31,0.22,0.15,0.01
btc-updown-5m-1771105200,1771105200,2026-02-14 21:40:00 UTC,2026-02-14,21,40,Saturday,Up,1,90056.402824,0.999,0.99,1,0.01,True,69735.65,69860.9,69878.39,69673.16,0.00179607,8.191e-05,0.00294297,1250,506,81386.1213,0.5749,0.4408,0.57,0.41,0.69,0.8,0.91
btc-updown-5m-1771105500,1771105500,2026-02-14 21:45:00 UTC,2026-02-14,21,45,Saturday,Down,0,93508.531347,0.01,0.53,0.54,0.01,True,69860.9,69852.08,69882.65,69823.32,-0.00012625,4.161e-05,0.00084926,1328,458,83422.6773,0.584,0.4315,0.51,0.3736,0.6263,0.5111,0.54
btc-updown-5m-1771105800,1771105800,2026-02-14 21:50:00 UTC,2026-02-14,21,50,Saturday,Up,1,102669.134785,0.99,0.9,0.94,0.04,True,69852.07,69930.9,69930.9,69802.38,0.00112853,3.728e-05,0.00183989,1194,536,93933.5134,0.537,0.4573,0.5,0.4066,0.39,0.3951,0.848
btc-updown-5m-1771106100,1771106100,2026-02-14 21:55:00 UTC,2026-02-14,21,55,Saturday,Up,1,87453.524907,0.99,0.99,1,0.01,True,69930.89,69935.86,69935.87,69876.71,7.107e-05,3.61e-05,0.00084598,1257,505,83082.7435,0.6176,0.459,0.51,0.4544,0.3552,0.42,0.6912
btc-updown-5m-1771106400,1771106400,2026-02-14 22:00:00 UTC,2026-02-14,22,0,Saturday,Up,1,132209.088297,0.99,0.99,1,0.01,True,69932.85,69949.59,69949.6,69899.78,0.00023937,4.46e-05,0.0007124,1380,533,125173.2842,0.5178,0.3341,0.51,0.43,0.48,0.65,0.72
btc-updown-5m-1771106700,1771106700,2026-02-14 22:05:00 UTC,2026-02-14,22,5,Saturday,Down,0,65788.494825,0.01,,0.01,0.01,True,69944.69,69862.73,69944.69,69862.73,-0.00117178,4.457e-05,0.00117178,981,472,76186.9482,0.58,0.37,0.5,0.39,0.42,0.3387,0.33
btc-updown-5m-1771107000,1771107000,2026-02-14 22:10:00 UTC,2026-02-14,22,10,Saturday,Up,1,75181.720322,0.99,0.99,1,0.01,True,69862.73,70006.81,70038.2,69845.97,0.00206233,4.64e-05,0.00275154,889,440,70233.1817,0.5158,0.4747,0.5,0.65,0.88,0.97,0.99
btc-updown-5m-1771107300,1771107300,2026-02-14 22:15:00 UTC,2026-02-14,22,15,Saturday,Down,0,128686.685712,0.01,0.31,0.35,0.04,True,70006.81,69907.14,70006.81,69869.89,-0.00142372,6.504e-05,0.00195581,1442,637,118952.3073,0.6067,0.2947,0.48,0.3794,0.37,0.4609,0.28
btc-updown-5m-1771107600,1771107600,2026-02-14 22:20:00 UTC,2026-02-14,22,20,Saturday,Down,0,128294.577966,0.01,0.18,0.2,0.01,True,69907.14,69883.47,69925.56,69781.01,-0.00033859,6.454e-05,0.00206774,1390,576,120073.3356,0.472,0.4043,0.51,0.4162,0.25,0.07,0.09
btc-updown-5m-1771107900,1771107900,2026-02-14 22:25:00 UTC,2026-02-14,22,25,Saturday,Up,1,75896.90118,0.99,0.99,1,0.01,True,69902.68,69940.72,69947.27,69864.49,0.00054419,3.577e-05,0.00118422,1223,481,76368.7232,0.5781,0.4407,0.54,0.55,0.7,0.72,0.94
btc-updown-5m-1771108200,1771108200,2026-02-14 22:30:00 UTC,2026-02-14,22,30,Saturday,Down,0,143550.042488,0.01,,0.01,0.01,True,69940.71,69929.04,69988.0,69922.02,-0.00016686,5.447e-05,0.00094337,1558,503,135468.7986,0.4575,0.4332,0.5,0.65,0.57,0.7547,0.8939
btc-updown-5m-1771108500,1771108500,2026-02-14 22:35:00 UTC,2026-02-14,22,35,Saturday,Up,1,57485.877508,0.999,0.99,1,0.01,True,69951.99,70007.31,70033.7,69949.5,0.00079083,3.307e-05,0.00120368,848,448,53336.549,0.5481,0.4493,0.5,0.67,0.66,0.82,0.92
btc-updown-5m-1771108800,1771108800,2026-02-14 22:40:00 UTC,2026-02-14,22,40,Saturday,Down,0,94289.882734,0.01,,0.01,0.01,True,70013.98,69988.09,70023.75,69959.3,-0.00036978,3.774e-05,0.00092053,1101,446,88643.2385,0.481,0.4015,0.51,0.42,0.28,0.35,0.53
btc-updown-5m-1771109100,1771109100,2026-02-14 22:45:00 UTC,2026-02-14,22,45,Saturday,Down,0,28984.581286,0.46,0.45,0.46,0.01,True,69988.08,69974.01,70100.0,69974.01,-0.00020103,4.951e-05,0.00180016,1072,430,72653.5664,0.5121,0.4729,0.51,0.6473,0.72,0.53,0.4672
btc-updown-5m-1771109400,1771109400,2026-02-14 22:50:00 UTC,2026-02-14,22,50,Saturday,Up,1,101403.931223,0.99,0.99,1,0.01,True,69974.01,70003.93,70067.71,69970.25,0.00042759,5.487e-05,0.0013928,1326,481,93908.7009,0.5713,0.4359,0.51,0.5245,0.4792,0.6,0.8475
btc-updown-5m-1771109700,1771109700,2026-02-14 22:55:00 UTC,2026-02-14,22,55,Saturday,Down,0,111610.533214,0.001,,0.01,0.01,True,69990.78,69959.75,70026.5,69950.0,-0.00044334,6.535e-05,0.001093,1310,388,103174.3404,0.4331,0.4183,0.51,0.53,0.53,0.65,0.27
btc-updown-5m-1771110000,1771110000,2026-02-14 23:00:00 UTC,2026-02-14,23,0,Saturday,Down,0,94719.566485,0.01,,0.01,0.01,True,69959.31,69940.0,70008.0,69930.8,-0.00027602,5.609e-05,0.0011035,1618,434,84707.2956,0.5615,0.4172,0.5,0.5601,0.5402,0.64,0.2687
btc-updown-5m-1771110300,1771110300,2026-02-14 23:05:00 UTC,2026-02-14,23,5,Saturday,Down,0,131430.952547,0.01,,0.01,0.01,True,69959.09,69926.81,70005.8,69926.81,-0.00046141,5.579e-05,0.00112909,1317,501,124001.7435,0.4351,0.5004,0.52,0.56,0.4527,0.47,0.6684
btc-updown-5m-1771110600,1771110600,2026-02-14 23:10:00 UTC,2026-02-14,23,10,Saturday,Up,1,105864.60874,0.99,0.73,0.75,0.02,True,69931.72,69977.27,69977.27,69905.42,0.00065135,5.259e-05,0.00102743,1415,406,97958.9003,0.4948,0.4064,0.5,0.6,0.4115,0.4847,0.792
btc-updown-5m-1771110900,1771110900,2026-02-14 23:15:00 UTC,2026-02-14,23,15,Saturday,Down,0,121992.325395,0.001,,0.01,0.01,True,69974.46,69910.25,70020.0,69890.0,-0.00091762,6.095e-05,0.00185782,1563,464,111329.7824,0.5012,0.3871,0.53,0.5336,0.45,0.5934,0.5952
btc-updown-5m-1771111200,1771111200,2026-02-14 23:20:00 UTC,2026-02-14,23,20,Saturday,Down,0,46403.906122,0.04,0.02,0.03,0.01,True,69910.24,69814.04,69914.81,69723.18,-0.00137605,9.089e-05,0.00274109,1106,478,92397.1956,0.4578,0.4195,0.51,0.4,0.3539,0.1886,0.045
btc-updown-5m-1771111500,1771111500,2026-02-14 23:25:00 UTC,2026-02-14,23,25,Saturday,Up,1,112120.513067,0.99,0.99,1,0.01,True,69811.45,69828.09,69839.09,69726.0,0.00023836,7.063e-05,0.00161993,1370,472,103423.0573,0.4566,0.4051,0.52,0.505,0.2765,0.4,0.46
btc-updown-5m-1771111800,1771111800,2026-02-14 23:30:00 UTC,2026-02-14,23,30,Saturday,Up,1,46899.62451,0.6,0.51,0.53,0.02,True,69828.1,69838.15,69861.0,69789.13,0.00014392,4.364e-05,0.00102924,1222,349,68893.3193,0.6055,0.4566,0.52,0.5914,0.46,0.43,0.5065
btc-updown-5m-1771112100,1771112100,2026-02-14 23:35:00 UTC,2026-02-14,23,35,Saturday,Up,1,77687.857827,0.99,0.38,0.4,0.02,True,69838.14,69844.79,69847.39,69774.92,9.522e-05,3.493e-05,0.00103769,1037,377,70026.9463,0.5737,0.4503,0.51,0.35,0.45,0.41,0.44
btc-updown-5m-1771112400,1771112400,2026-02-14 23:40:00 UTC,2026-02-14,23,40,Saturday,Down,0,92922.864022,0.01,,0.01,0.01,True,69844.01,69816.03,69857.58,69811.9,-0.00040061,3.7e-05,0.00065403,1236,448,83867.9171,0.5456,0.4903,0.5,0.42,0.58,0.5048,0.4002
btc-updown-5m-1771112700,1771112700,2026-02-14 23:45:00 UTC,2026-02-14,23,45,Saturday,Down,0,125506.088271,0.01,,0.01,0.01,True,69816.04,69803.01,69865.38,69798.3,-0.00018663,4.282e-05,0.00096081,1114,451,116731.211,0.4002,0.4785,0.5,0.53,0.6,0.64,0.6874
btc-updown-5m-1771113000,1771113000,2026-02-14 23:50:00 UTC,2026-02-14,23,50,Saturday,Down,0,77004.904107,0.01,0.36,0.4,0.04,True,69821.66,69803.84,69843.18,69788.0,-0.00025522,2.355e-05,0.0007903,959,370,69296.4694,0.5699,0.4015,0.51,0.5669,0.56,0.5055,0.3872
btc-updown-5m-1771113300,1771113300,2026-02-14 23:55:00 UTC,2026-02-14,23,55,Saturday,Up,1,106033.50487,0.99,0.99,1,0.01,True,69803.83,69822.95,69827.76,69773.07,0.00027391,3.863e-05,0.00078348,1251,435,97783.7711,0.5465,0.4157,0.51,0.5495,0.49,0.4065,0.7357
btc-updown-5m-1771113600,1771113600,2026-02-15 00:00:00 UTC,2026-02-15,0,0,Sunday,Down,0,35417.407562,0.53,0.53,0.55,0.02,True,69817.0,69820.38,69830.69,69775.99,4.841e-05,3.966e-05,0.00078348,815,303,55751.105,0.6265,0.4405,0.51,0.5363,0.36,0.4237,0.453
btc-updown-5m-1771113900,1771113900,2026-02-15 00:05:00 UTC,2026-02-15,0,5,Sunday,Down,0,96907.798613,0.01,,0.01,0.01,True,69820.39,69787.32,69862.0,69778.0,-0.00047364,5.478e-05,0.00120309,1511,423,87370.2194,0.5483,0.4732,0.51,0.5545,0.68,0.24,0.1031
btc-updown-5m-1771114200,1771114200,2026-02-15 00:10:00 UTC,2026-02-15,0,10,Sunday,Down,0,44484.059372,0.07,0.01,0.02,0.01,True,69787.33,69681.93,69814.4,69681.92,-0.0015103,4.771e-05,0.00189834,1049,423,87104.2159,0.5016,0.3851,0.51,0.56,0.32,0.0818,0.07
btc-updown-5m-1771114500,1771114500,2026-02-15 00:15:00 UTC,2026-02-15,0,15,Sunday,Up,1,42852.721158,0.42,0.51,0.52,0.01,True,69688.79,69772.3,69772.4,69644.75,0.00119833,7.136e-05,0.00183171,1638,476,108819.8819,0.5772,0.4609,0.57,0.65,0.6061,0.3688,0.67
btc-updown-5m-1771114800,1771114800,2026-02-15 00:20:00 UTC,2026-02-15,0,20,Sunday,Down,0,74593.260117,0.01,,0.01,0.01,True,69772.31,69680.87,69772.31,69651.1,-0.00131055,5.042e-05,0.00173722,1024,430,68964.978,0.6046,0.3887,0.5,0.44,0.4,0.15,0.0812
btc-updown-5m-1771115100,1771115100,2026-02-15 00:25:00 UTC,2026-02-15,0,25,Sunday,Up,1,118224.120112,0.99,0.49,0.5,0.01,True,69683.27,69695.77,69698.61,69659.63,0.00017938,3.032e-05,0.00055939,1422,423,107481.9671,0.626,0.4163,0.51,0.5484,0.3347,0.54,0.66
btc-updown-5m-1771115400,1771115400,2026-02-15 00:30:00 UTC,2026-02-15,0,30,Sunday,Down,0,139582.566962,0.01,,0.01,0.01,True,69670.72,69690.24,69758.0,69670.72,0.00028018,5.639e-05,0.00125275,1578,500,127670.8865,0.5507,0.4449,0.51,0.67,0.62,0.8218,0.382
btc-updown-5m-1771115700,1771115700,2026-02-15 00:35:00 UTC,2026-02-15,0,35,Sunday,Down,0,111566.364344,0.01,,0.01,0.01,True,69690.25,69639.1,69698.63,69631.01,-0.00073396,4.683e-05,0.00097029,1068,411,104884.5353,0.4813,0.3783,0.51,0.5,0.54,0.3301,0.45
btc-updown-5m-1771116000,1771116000,2026-02-15 00:40:00 UTC,2026-02-15,0,40,Sunday,Down,0,111090.946611,0.01,,0.01,0.01,True,69639.11,69634.01,69699.75,69634.0,-7.323e-05,4.179e-05,0.00094415,1463,414,103557.5648,0.5642,0.434,0.51,0.62,0.69,0.6345,0.84
btc-updown-5m-1771116300,1771116300,2026-02-15 00:45:00 UTC,2026-02-15,0,45,Sunday,Up,1,71038.722755,0.999,0.99,1,0.01,True,69634.0,69669.04,69690.9,69600.0,0.0005032,4.946e-05,0.0013054,1056,358,65122.261,0.6722,0.4536,0.5,0.66,0.67,0.77,0.44
btc-updown-5m-1771116600,1771116600,2026-02-15 00:50:00 UTC,2026-02-15,0,50,Sunday,Up,1,107223.587077,0.999,0.97,0.98,0.01,True,69678.26,69741.02,69745.31,69663.08,0.00090071,3.363e-05,0.00118014,1185,405,99398.5507,0.4108,0.5561,0.51,0.57,0.53,0.8081,0.86
btc-updown-5m-1771116900,1771116900,2026-02-15 00:55:00 UTC,2026-02-15,0,55,Sunday,Up,1,82485.292518,0.999,0.99,1,0.01,True,69741.02,69777.07,69798.4,69730.66,0.00051691,3.162e-05,0.00097131,1144,417,73916.8835,0.6291,0.4493,0.5,0.51,0.65,0.62,0.6833
btc-updown-5m-1771117200,1771117200,2026-02-15 01:00:00 UTC,2026-02-15,1,0,Sunday,Up,1,82139.726036,0.99,0.99,1,0.01,True,69772.31,69810.22,69850.19,69753.8,0.00054334,3.336e-05,0.00138149,981,404,75334.2506,0.5373,0.4811,0.5,0.5658,0.65,0.79,0.9652
btc-updown-5m-1771117500,1771117500,2026-02-15 01:05:00 UTC,2026-02-15,1,5,Sunday,Up,1,62195.139373,0.99,0.99,1,0.01,True,69810.23,69881.23,69881.24,69810.22,0.00101704,3.2e-05,0.00101733,960,421,75899.841,0.5107,0.5208,0.47,0.54,0.7501,0.83,0.92
btc-updown-5m-1771117800,1771117800,2026-02-15 01:10:00 UTC,2026-02-15,1,10,Sunday,Up,1,102335.120387,0.99,0.99,1,0.01,True,69881.23,69902.69,69902.7,69856.61,0.00030709,3.876e-05,0.00065955,1484,454,94014.8242,0.4838,0.4043,0.46,0.45,0.42,0.48,0.61
btc-updown-5m-1771118100,1771118100,2026-02-15 01:15:00 UTC,2026-02-15,1,15,Sunday,Down,0,35185.61728,0.13,0.09,0.1,0.01,True,69892.32,69835.01,69892.33,69834.64,-0.00081998,2.926e-05,0.00082541,838,369,65786.111,0.5827,0.3723,0.5,0.33,0.36,0.1463,0.1
btc-updown-5m-1771118400,1771118400,2026-02-15 01:20:00 UTC,2026-02-15,1,20,Sunday,Down,0,82991.586688,0.008,,0.008,0.008,True,69835.01,69572.0,69835.01,69553.4,-0.00376616,8.584e-05,0.0040325,899,403,115185.8034,0.3214,0.3515,0.51,0.2563,0.02,0.03,0.003
btc-updown-5m-1771118700,1771118700,2026-02-15 01:25:00 UTC,2026-02-15,1,25,Sunday,Down,0,32511.823849,0.75,0.76,0.77,0.01,True,69583.71,69529.34,69640.89,69460.05,-0.00078136,0.00010893,0.00259888,1638,527,87937.8992,0.5632,0.4164,0.52,0.69,0.77,0.73,0.1171
btc-updown-5m-1771119000,1771119000,2026-02-15 01:30:00 UTC,2026-02-15,1,30,Sunday,Down,0,128716.192034,0.01,,0.01,0.01,True,69529.33,69519.7,69607.88,69519.7,-0.0001385,6.426e-05,0.00126824,1467,463,121501.2562,0.4556,0.4608,0.5369,0.71,0.75,0.73,0.4817
btc-updown-5m-1771119300,1771119300,2026-02-15 01:35:00 UTC,2026-02-15,1,35,Sunday,Up,1,45415.923681,0.92,0.93,0.94,0.01,True,69544.35,69611.86,69647.62,69459.58,0.00097075,7.195e-05,0.00270389,1325,402,70311.634,0.5544,0.4445,0.5,0.5,0.43,0.6,0.9433
btc-updown-5m-1771119600,1771119600,2026-02-15 01:40:00 UTC,2026-02-15,1,40,Sunday,Down,0,53815.781312,0.01,,0.01,0.01,True,69611.85,69407.22,69670.0,69350.0,-0.00293959,0.00010712,0.00459692,1198,383,77898.8984,0.515,0.4032,0.5,0.5802,0.6596,0.49,0.07
btc-updown-5m-1771119900,1771119900,2026-02-15 01:45:00 UTC,2026-02-15,1,45,Sunday,Up,1,76256.129268,0.99,0.99,1,0.01,True,69407.22,69506.59,69506.6,69393.69,0.0014317,5.794e-05,0.00162678,1286,435,75475.4965,0.6103,0.4689,0.51,0.62,0.52,0.7168,0.92
btc-updown-5m-1771120200,1771120200,2026-02-15 01:50:00 UTC,2026-02-15,1,50,Sunday,Up,1,74634.850061,0.99,0.94,0.96,0.02,True,69506.6,69591.87,69600.0,69506.59,0.00122679,4.057e-05,0.0013439,1101,412,68863.5076,0.5621,0.485,0.5,0.59,0.59,0.7874,0.96
btc-updown-5m-1771120500,1771120500,2026-02-15 01:55:00 UTC,2026-02-15,1,55,Sunday,Up,1,71947.071903,0.99,0.99,1,0.01,True,69589.9,69717.65,69725.4,69576.71,0.00183575,3.143e-05,0.00213666,1225,409,69302.7946,0.5823,0.4686,0.51,0.54,0.7,0.86,0.97
btc-updown-5m-1771120800,1771120800,2026-02-15 02:00:00 UTC,2026-02-15,2,0,Sunday,Down,0,89609.013042,0.01,,0.01,0.01,True,69711.66,69644.46,69736.98,69608.27,-0.00096397,5.617e-05,0.00184632,1293,457,83234.613,0.6,0.355,0.5,0.5,0.3739,0.0629,0.02
btc-updown-5m-1771121100,1771121100,2026-02-15 02:05:00 UTC,2026-02-15,2,5,Sunday,Down,0,42633.390487,0.43,0.25,0.27,0.02,True,69659.11,69511.03,69753.9,69487.42,-0.00212578,8.957e-05,0.00382549,1595,445,82906.6533,0.5061,0.4132,0.51,0.54,0.88,0.93,0.2138
btc-updown-5m-1771121400,1771121400,2026-02-15 02:10:00 UTC,2026-02-15,2,10,Sunday,Up,1,103107.291016,0.999,0.999,1,0.001,True,69511.02,69548.41,69560.0,69477.42,0.0005379,4.323e-05,0.00118801,1413,404,95464.0583,0.449,0.4388,0.5,0.51,0.48,0.6963,0.91
btc-updown-5m-1771121700,1771121700,2026-02-15 02:15:00 UTC,2026-02-15,2,15,Sunday,Down,0,49296.983743,0.01,,0.01,0.01,True,69548.4,69529.98,69622.6,69529.98,-0.00026485,4.599e-05,0.00133173,1079,451,104659.3409,0.4593,0.4578,0.5,0.56,0.76,0.86,0.93
btc-updown-5m-1771122000,1771122000,2026-02-15 02:20:00 UTC,2026-02-15,2,20,Sunday,Down,0,63066.950623,0.01,,0.01,0.01,True,69529.98,69428.31,69547.37,69408.0,-0.00146225,5.43e-05,0.00200446,1023,423,60718.5086,0.5465,0.4477,0.5,0.3797,0.17,0.09,0.09
btc-updown-5m-1771122300,1771122300,2026-02-15 02:25:00 UTC,2026-02-15,2,25,Sunday,Up,1,66430.491005,0.99,0.99,1,0.01,True,69428.31,69475.48,69480.0,69411.22,0.00067941,3.138e-05,0.00099066,1058,372,61095.4416,0.6522,0.4631,0.51,0.66,0.717,0.8237,0.87
btc-updown-5m-1771122600,1771122600,2026-02-15 02:30:00 UTC,2026-02-15,2,30,Sunday,Up,1,100098.441367,0.99,0.99,1,0.01,True,69465.37,69479.99,69480.0,69381.4,0.00021046,6.308e-05,0.00141941,1288,446,92349.8814,0.4875,0.4068,0.5,0.52,0.24,0.3613,0.0763
btc-updown-5m-1771122900,1771122900,2026-02-15 02:35:00 UTC,2026-02-15,2,35,Sunday,Up,1,183155.919869,0.999,0.99,1,0.01,True,69472.37,69534.17,69543.16,69341.27,0.00088956,7.139e-05,0.00290605,1623,447,172721.9432,0.3402,0.4331,0.5,0.272,0.25,0.22,0.2508
btc-updown-5m-1771123200,1771123200,2026-02-15 02:40:00 UTC,2026-02-15,2,40,Sunday,Down,0,78806.813265,0.01,0.43,0.47,0.04,True,69532.01,69510.71,69564.4,69485.7,-0.00030633,5.462e-05,0.00113185,1195,366,70836.2822,0.622,0.41,0.5,0.48,0.5784,0.37,0.75
btc-updown-5m-1771123500,1771123500,2026-02-15 02:45:00 UTC,2026-02-15,2,45,Sunday,Down,0,115961.015776,0.01,0.09,0.11,0.02,True,69510.71,69445.99,69576.0,69437.85,-0.00093108,4.4e-05,0.00198746,1232,460,108415.5537,0.5849,0.4123,0.51,0.67,0.8,0.32,0.11
btc-updown-5m-1771123800,1771123800,2026-02-15 02:50:00 UTC,2026-02-15,2,50,Sunday,Up,1,102025.260343,0.99,0.92,0.94,0.02,True,69445.61,69512.72,69526.43,69445.6,0.00096637,3.15e-05,0.00116393,1086,437,95393.5357,0.4822,0.4963,0.5,0.59,0.68,0.7909,0.85
btc-updown-5m-1771124100,1771124100,2026-02-15 02:55:00 UTC,2026-02-15,2,55,Sunday,Down,0,72049.244718,0.001,,0.01,0.01,True,69519.95,69480.01,69556.44,69480.0,-0.00057451,2.985e-05,0.00109954,981,409,65393.7646,0.5567,0.421,0.51,0.64,0.71,0.73,0.7106
btc-updown-5m-1771124400,1771124400,2026-02-15 03:00:00 UTC,2026-02-15,3,0,Sunday,Up,1,68061.573835,0.99,0.75,0.77,0.02,True,69480.01,69559.35,69571.14,69480.01,0.00114191,4.617e-05,0.0013116,957,391,60734.1086,0.6018,0.4786,0.5,0.63,0.7372,0.76,0.9
btc-updown-5m-1771124700,1771124700,2026-02-15 03:05:00 UTC,2026-02-15,3,5,Sunday,Up,1,87991.112354,0.99,0.81,0.82,0.01,True,69564.38,69595.1,69595.19,69528.61,0.00044161,4.193e-05,0.0009571,1231,432,79500.4671,0.5815,0.4444,0.51,0.4445,0.46,0.59,0.81
btc-updown-5m-1771125000,1771125000,2026-02-15 03:10:00 UTC,2026-02-15,3,10,Sunday,Down,0,60384.031424,0.01,,0.01,0.01,True,69586.0,69466.92,69586.01,69466.92,-0.00171126,3.967e-05,0.00171141,844,364,55355.413,0.5784,0.3697,0.51,0.41,0.36,0.23,0.06
btc-updown-5m-1771125300,1771125300,2026-02-15 03:15:00 UTC,2026-02-15,3,15,Sunday,Up,1,93225.967669,0.99,0.92,0.93,0.01,True,69486.5,69566.03,69576.0,69486.5,0.00114454,3.618e-05,0.00128802,781,385,89173.1924,0.3539,0.4661,0.51,0.658,0.8348,0.93,0.98
btc-updown-5m-1771125600,1771125600,2026-02-15 03:20:00 UTC,2026-02-15,3,20,Sunday,Down,0,120696.266056,0.01,,0.01,0.01,True,69566.04,69511.27,69586.47,69511.26,-0.00078731,3.205e-05,0.00108113,1319,460,112384.701,0.5631,0.3548,0.5,0.57,0.551,0.6,0.6962
btc-updown-5m-1771125900,1771125900,2026-02-15 03:25:00 UTC,2026-02-15,3,25,Sunday,Down,0,79798.853723,0.01,,0.001,0.001,True,69511.27,69445.6,69545.1,69445.6,-0.00094474,4.392e-05,0.00143142,1091,404,73705.2851,0.5561,0.4097,0.51,0.5368,0.58,0.34,0.5123
btc-updown-5m-1771126200,1771126200,2026-02-15 03:30:00 UTC,2026-02-15,3,30,Sunday,Down,0,95814.56171,0.01,,0.01,0.01,True,69445.61,69374.14,69539.57,69370.13,-0.00102915,8.411e-05,0.0024399,1642,523,146930.6734,0.3677,0.4318,0.55,0.6,0.8,0.77,0.93
btc-updown-5m-1771126500,1771126500,2026-02-15 03:35:00 UTC,2026-02-15,3,35,Sunday,Up,1,34696.967465,0.07,0.06,0.07,0.01,True,69368.58,69384.24,69392.31,69251.5,0.00022575,0.00010122,0.00202988,1372,471,98095.0638,0.6347,0.4191,0.51,0.44,0.52,0.4034,0.12
btc-updown-5m-1771126800,1771126800,2026-02-15 03:40:00 UTC,2026-02-15,3,40,Sunday,Down,0,118119.59538,0.01,,0.01,0.01,True,69384.24,69360.11,69409.13,69321.7,-0.00034777,9.106e-05,0.00126008,1808,478,113235.0468,0.4602,0.4298,0.55,0.44,0.4235,0.55,0.61
btc-updown-5m-1771127100,1771127100,2026-02-15 03:45:00 UTC,2026-02-15,3,45,Sunday,Up,1,114194.727781,0.999,0.999,1,0.001,True,69371.19,69902.29,69980.02,69371.19,0.00765592,0.00020785,0.00877641,1442,381,112454.2247,0.2778,0.2004,0.5,0.87,0.95,0.99,0.993
btc-updown-5m-1771127400,1771127400,2026-02-15 03:50:00 UTC,2026-02-15,3,50,Sunday,Up,1,112506.065679,0.99,0.99,1,0.01,True,69902.3,69922.11,69983.28,69880.51,0.0002834,9.205e-05,0.00147019,1821,444,113572.2879,0.4868,0.3295,0.51,0.53,0.46,0.46,0.7532
btc-updown-5m-1771127700,1771127700,2026-02-15 03:55:00 UTC,2026-02-15,3,55,Sunday,Up,1,71346.664626,0.99,0.99,1,0.01,True,69930.59,69954.5,69990.02,69892.46,0.00034191,5.591e-05,0.0013951,1271,385,67472.2613,0.5954,0.4099,0.5,0.4541,0.54,0.69,0.8574
btc-updown-5m-1771128000,1771128000,2026-02-15 04:00:00 UTC,2026-02-15,4,0,Sunday,Up,1,173055.09769,0.99,0.99,1,0.01,True,69954.49,70005.71,70136.4,69937.26,0.00073219,0.00013947,0.00284671,2359,473,164388.9794,0.3196,0.2624,0.45,0.6,0.45,0.9,0.9042
btc-updown-5m-1771128300,1771128300,2026-02-15 04:05:00 UTC,2026-02-15,4,5,Sunday,Up,1,85995.295805,0.99,0.99,1,0.01,True,70005.7,70270.21,70394.4,69961.5,0.00377841,0.00015774,0.00618378,1795,410,100223.1016,0.4592,0.3014,0.4,0.39,0.51,0.97,0.99
btc-updown-5m-1771128600,1771128600,2026-02-15 04:10:00 UTC,2026-02-15,4,10,Sunday,Up,1,98035.236489,0.99,0.99,1,0.01,True,70268.89,70424.5,70450.75,70268.89,0.00221449,0.00010926,0.00258806,1490,470,111901.0984,0.5618,0.3383,0.38,0.65,0.67,0.8605,0.9846
btc-updown-5m-1771128900,1771128900,2026-02-15 04:15:00 UTC,2026-02-15,4,15,Sunday,Down,0,140661.689934,0.01,0.55,0.59,0.04,True,70432.02,70304.18,70518.57,70277.82,-0.00181508,8.277e-05,0.00341819,1610,512,133351.1353,0.5178,0.3714,0.35,0.41,0.7633,0.7,0.09
btc-updown-5m-1771129200,1771129200,2026-02-15 04:20:00 UTC,2026-02-15,4,20,Sunday,Down,0,77761.535381,0.01,,0.01,0.01,True,70307.39,70206.41,70307.39,70186.5,-0.00143626,7.568e-05,0.00171945,1248,436,88120.7552,0.6093,0.4255,0.48,0.33,0.3033,0.16,0.04
